name,voteCount,rating,address,cusine,cost,timing,Location,City,Days_Open
Alishan Star Restaurant,9,3.2,"West Beraberi, Narayanpur, Paschim, Rajarhat, Gopalpur, Bidhannagar-Rajarhat Municipal Corporation, North Twenty 24 Parganas, New Town, Kolkata",Street Food,300,12noon – 12midnight (Mon-Sun),New Town,Kolkata,Mon-Sun
O Alibaba,270,3.4,"58, New G.T Road, Uttarpara, Kolkata",Street Food,400,12:30pm – 9:30pm (Mon-Sun),Uttarpara,Kolkata,Mon-Sun
Annapurna Meal Services,15,2.9,"9/6, Barisha Purbapara Road, Thakur Pukur, Kolkata",North Indian,400,10am – 10pm (Mon-Sun),Thakur Pukur,Kolkata,Mon-Sun
The Tenzing Bowl,23,3.9,"7, Mukundapur Main Road, Ramkrishna Palli, Chit Kalikapur, Mukundapur, Kalikapur, Kolkata",North Indian,500,"12:30pm – 10:30pm (Mon, Wed, Thu, Fri, Sat, Sun)...",Kalikapur,Kolkata,"Mon, Wed, Thu, Fri, Sat, Sun"
Ice On Fire Juice And Snacks Bar,10,3.1,"34, Manjuvilla Apartment, Near Binoypally Shiv Mandir, Bansdroni, Tollygunge, Kolkata",South Indian,200,11am – 11pm (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Bajrangbali Food Centre,80,2.7,"Akandakeshari, Block K, Action Area III, New Town, Kolkata",South Indian,300,12noon – 1am (Mon-Sun),New Town,Kolkata,Mon-Sun
Cheesy Blast,37,3.7,"3/58, Chittaranjan Colony, Jadavpur, Kolkata","Chinese, Momos",200,12noon – 4am (Mon-Sun),Jadavpur,Kolkata,Mon-Sun
Wow Wow Burger,20,3.3,"NP 290, Nayapatty Main Road, Sector 5, Salt Lake, Kolkata","Chinese, Momos",450,10am – 3am (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
The North Cafe,64,3.4,"149/1, Sodepure Road East, Beside HDFC Bank, Madhyamgram, Barasat, Kolkata",Chinese,600,12noon – 10pm (Mon-Sun),Barasat,Kolkata,Mon-Sun
Tandoor N Tadka,58,3.6,"Shop 20, 1/20, Bangur Avenue, Super Market Complex, Block C, Bangur, Kolkata",Chinese,350,12:30pm – 2am (Mon-Sun),Bangur,Kolkata,Mon-Sun
Alishan Star Biryani,5,2.9,"Joga Danga, Near Masjid, Chinar Park, Kolkata","Cafe, Chinese, Continental",200,12noon – 12midnight (Mon-Sun),Chinar Park,Kolkata,Mon-Sun
The Calcutta Spice,4,3.0,"Near Hoogly Womens College, Vivekananda Road, Pipulpati, Chinsura, Kolkata","Cafe, Chinese, Continental",500,10:30am – 10:30pm (Mon-Sun),Chinsura,Kolkata,Mon-Sun
Hotel De Chandannagar,27,3.4,"223, GT Road(East), Barabazar, Hooghly, Chandannagar, Kolkata",Chinese,250,11am – 11pm (Mon-Sun),Chandannagar,Kolkata,Mon-Sun
Curcuma,7,2.9,"Royal Green Club House, Greenfield City, 3rd Floor, Sibrampur, Behala, Kolkata",Chinese,300,8:30am – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Saffron,32,3.9,"Shop R 4A & 4B, Plot 5, Podium Godrej Waterside Building, Block DP, Electronics Complex, Sector 5, Salt Lake, Kolkata","North Indian, Fast Food",800,"11:30am – 3:15pm, 6:30pm – 11pm (Mon-Sun)",Salt Lake,Kolkata,Mon-Sun
Alia Biryani,6,2.8,"Police Fadi Chiriyamore, Dum Dum, Kolkata","North Indian, Fast Food",300,9am – 4am (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Hungry Hobbit,6,3.0,"MB 577, Mahisbathan, Bidhan Nagar, Krishnapur, Sector 5, Salt Lake, Kolkata","Biryani, Chinese",300,"8:30am – 11am, 12noon – 11pm (Mon-Sun)",Salt Lake,Kolkata,Mon-Sun
Bika Sweets,10,3.3,"212, Girish Ghosh Road, Belur, Howrah","Biryani, Chinese",150,10am – 10pm (Mon-Sun),Belur,Howrah,Mon-Sun
The Flames,16,3.4,"241/1, GT Road, Liluah, Howrah",Mishti,500,10am – 10pm (Mon-Sun),Liluah,Howrah,Mon-Sun
Hangout @Evergreen,26,3.3,"11, Doctor SP Mukherjee Road, Gora Bazar, Dum Dum, Kolkata",Mishti,400,1:30pm – 11pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
BBQ Hub,6,2.9,"A-45, NKDA Market, Opposite Unitech Gate 1, New Town, Kolkata",North Indian,250,3pm – 2am (Mon-Sun),New Town,Kolkata,Mon-Sun
Gazab Ba Restaurant,5,3.2,"Khamar, Bishnupur, DRK Studio, New Town, Kolkata",North Indian,300,11am – 11pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Zam Zam Biryani,12,3.2,"Stall 9, Church Road, Chandannagar, Kolkata",Bakery,100,12noon – 11pm (Mon-Sun),Chandannagar,Kolkata,Mon-Sun
Nisha's Veg Kitchen,31,3.6,"CA 6/18, Deshbandhu Nagar, Baguihati, Kolkata",Bakery,450,8am – 11pm (Mon-Sun),Baguihati,Kolkata,Mon-Sun
Am:Pm Multicuisine Restro,15,3.2,"456/S-1, Motilal Colony, Ward 4, Dum Dum, Kolkata",Momos,500,"12midnight – 2am, 10am – 12midnight (Mon-Sun)",Dum Dum,Kolkata,Mon-Sun
Flavour Of Bandel Junction,7,3.1,"Subhas Nagar, G T Road, Bandel More, Near Bandel Petrol Pump, Chandannagar, Kolkata",Momos,350,12noon – 10pm (Mon-Sun),Chandannagar,Kolkata,Mon-Sun
Eat Different,Cuisines:,3.0,"Plot IIIB/2, Ground Floor, Block C, Down Town Retail, AA III, New Town, Kolkata","Chinese, North Indian, Fast Food",200,"1:30pm – 10:30pm (Mon-Fri),1:30pm – 6pm (Sat-Sun)",New Town,Kolkata,Mon-Fri
Food ATM,18,3.4,"Lokenath Mandir, Jhawtala Road, Chinar Park, Kolkata","Chinese, North Indian, Fast Food",500,8am – 10pm (Mon-Sun),Chinar Park,Kolkata,Mon-Sun
Mriyan Kitchen,7,3.1,"20, Khanpur, Shahid Nagar, Baghajatin, Kolkata",Fast Food,350,11am – 12midnight (Mon-Sun),Baghajatin,Kolkata,Mon-Sun
The Desi Tadka,5,2.9,"AB-52, Prafulla Kanan Road, Kestopur, Kolkata",Fast Food,300,11:30am – 4am (Mon-Sun),Kestopur,Kolkata,Mon-Sun
Haji Kolkata Biryani House,15,3.3,"193, Dum Dum Road, North 24 Parganas, Dum Dum, Kolkata",North Indian,300,"12noon – 11:30pm (Mon-Sat),12noon – 12midnight...",Dum Dum,Kolkata,Mon-Sat
Souparna's  Fastfood,24,3.3,"1/16/3, Jatindas Nagar, Belghoria, Kolkata",North Indian,300,12:30pm – 10pm (Mon-Sun),Belghoria,Kolkata,Mon-Sun
Cafe Hangover,25,2.4,"21/A/3, Jessore Road, Rathtala, North 24 Paraganas, Near Barasat, Kolkata","North Indian, Chinese, Continental",250,11:30am – 1am (Mon-Sun),Near Barasat,Kolkata,Mon-Sun
Telebhaja,4,3.0,"T-71, Rajarhat Road, Teghoria, Near Loknath Mandir, Chinar Park, Kolkata","North Indian, Chinese, Continental",100,5:30pm – 10pm (Mon-Sun),Chinar Park,Kolkata,Mon-Sun
Bhukh Laggi,10,3.1,"CE 11, Action Area 1, New Town, Kolkata","Street Food, Mishti",300,12noon – 12midnight (Mon-Sun),New Town,Kolkata,Mon-Sun
Royal Fast Food,47,3.4,"738/1, Diamond Harbour Road, Behala, Kolkata,","Street Food, Mishti",300,12noon – 10:30pm (Mon-Sun),Behala,"Kolkata,",Mon-Sun
Take N Taste Resturant,63,3.4,"219/2, G.T. Road, Belurmath, Belur, Howrah","Street Food, Fast Food",400,11am – 10pm (Mon-Sun),Belur,Howrah,Mon-Sun
Baker's Maker,25,3.4,"Flat 3A, Daisy Block, Aster Green Apartment, Chinar Park, Kolkata","Street Food, Fast Food",350,8am – 10pm (Mon-Sun),Chinar Park,Kolkata,Mon-Sun
Banglar Kolapata,13,3.0,"Santragachi Station Road, Near NH-117, Kona Exp Way, Howrah",Bakery,300,10am – 10pm (Mon-Sun),Kona Exp Way,Howrah,Mon-Sun
Maharaj,43,3.5,"5/12, Netaji Nagar, Tollygunge, Kolkata",Bakery,300,12:30pm – 11:30pm (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Dhaka Biriyani House,394,3.6,"194 F, Station Road, Sodepur, Kolkata",Mishti,450,12noon – 10:30pm (Mon-Sun),Sodepur,Kolkata,Mon-Sun
Host,119,2.6,"P174, Block B, Lake Town, Kolkata",Mishti,650,11am – 11pm (Mon-Sun),Lake Town,Kolkata,Mon-Sun
Time Pass,10,3.1,"Shop 12, HC Dutta Road, Sodepur Kolkata","Fast Food, Chinese",300,11am – 11pm (Mon-Sun),HC Dutta Road,Sodepur Kolkata,Mon-Sun
Funite,169,3.9,"Shop DL 188, Ground Floor, Sector 2, Salt Lake, Kolkata","Fast Food, Chinese","1,000","Closed (Mon),12noon – 3pm (Tue),12noon – 10:30pm...",Salt Lake,Kolkata,Mon
House Of Cakes,48,3.4,"1, Narendra Nagar. L 9 Bus Stop, Near Airtel Showroom, Belghoria, Kolkata","Biryani, Mughlai",550,10am – 9pm (Mon-Sun),Belghoria,Kolkata,Mon-Sun
Roll Company,47,2.9,"EE Block, Sector 2, Salt Lake","Biryani, Mughlai",300,12noon – 9pm (Mon-Sun),Sector 2,Salt Lake,Mon-Sun
Time Pass,6,3.0,"Shop 12, H.C Dutta Road Sodepur, Khardah, Kolkata","Healthy Food, Fast Food, Juices",200,8am – 10:30pm (Mon-Sun),Khardah,Kolkata,Mon-Sun
Farest Kitchen,50,2.9,"126 Old, 38/1, Block -D, Dum Dum, Kolkata","Healthy Food, Fast Food, Juices",350,11am – 11pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Haldiram,144,3.5,"268, G T Road, Liluah, Howrah","Chinese, Fast Food, Rolls",300,7am – 10pm (Mon-Sun),Liluah,Howrah,Mon-Sun
Just Cooked,18,3.2,"463, NSC Bose Road, Narendrapur, Mandir Gate, Kolkata","Chinese, Fast Food, Rolls",300,8am – 10pm (Mon-Sun),Mandir Gate,Kolkata,Mon-Sun
Spicy AF,125,3.6,"AP Block, Opposite Technopolis, Sector 5, Salt Lake, Kolkata","Biryani, North Indian",600,12noon – 11:30pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Treat Pure Veg,39,3.1,"13, K.B. Sarani, Near Maruti Service Centre, Mall Road, Dum Dum, Kolkata","Biryani, North Indian",250,9am – 9:30pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Debansh Food Corner,10,3.2,"4B, Paik Para Row, Paikpara, Kolkata","South Indian, Fast Food",350,12noon – 11pm (Mon-Sun),Paikpara,Kolkata,Mon-Sun
King Shawarma Express,19,3.0,"Shop 5, Unitech Infospace, Gate 2, New Town, Kolkata","South Indian, Fast Food",200,11am – 11pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Super Star Biryani,6,3.0,"GN 37/1, Sector 5, Salt Lake, Kolkata","Chinese, Fast Food",200,12noon – 5pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Wow Fried Chicken,42,3.7,"75/1, Subhash Nagar, 1st Lane, Opposite Telephone Exchange, Dum Dum, Kolkata","Chinese, Fast Food",200,5pm – 10:30pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Shawarma City,11,2.8,"NP-232, Nayapatti Main Road, Sector 5, Salt Lake, Kolkata","Burger, Sandwich, Fast Food, Momos",400,11am – 10pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
Chaska Sweets & Snacks,11,3.4,"Jyangra Ghosh Para, Near Jora Mandir, Baguihati, Kolkata","Burger, Sandwich, Fast Food, Momos",150,6am – 11pm (Mon-Sun),Baguihati,Kolkata,Mon-Sun
The Oasis,10,3.1,"NH-6, Chamrail, Liluah, Howrah",Fast Food,300,11am – 11pm (Mon-Sun),Liluah,Howrah,Mon-Sun
Reflections - Ffort Raichak,113,4.1,"Ffort Raichak, Post Bag 1, Sarisa, South 24 Parganas, Falta, Kolkata",Fast Food,"1,200",7:30am – 11pm (Mon-Sun),Falta,Kolkata,Mon-Sun
Machhranga,90,2.4,"Near Patuli Police Station,EM Bypass, Patuli Crossing, Garia, Kolkata","Rolls, North Indian, Mughlai",500,12noon – 11:30pm (Mon-Sun),Garia,Kolkata,Mon-Sun
Tilottama,79,2.7,"449, Purbalok, Near Metro Cash & Carry, Kalikapur, Kolkata","Rolls, North Indian, Mughlai",450,12noon – 11pm (Mon-Sun),Kalikapur,Kolkata,Mon-Sun
Amar Cafe,86,3.6,"205, Santosh Roy Road, Behala, Kolkata","Chinese, Bengali",650,3pm – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
Nourishef - The Taste of Health,12,3.3,"A/133, Ground Floor, Baghajatin Colony, Southern Portion, Ward 99, Baghajatin, Kolkata","Chinese, Bengali",500,7am – 10pm (Mon-Sun),Baghajatin,Kolkata,Mon-Sun
Breakfast & ETC,7,2.5,"Gopalpur, Rajarhat, North Twenty Four Parganas, New Town, Kolkata","Beverages, Juices",300,8:30am – 9pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Juice And More,18,3.3,"3, Santosh Roy Road, Sakher Bazar, Behala, Kolkata","Beverages, Juices",200,9am – 10pm (Mon-Sun),Behala,Kolkata,Mon-Sun
London Bubble Co.,20,3.4,"E-7, 99/A, Ground Floor, Priyadarshini Appartments, N.B.R, Road, Shakuntala Park, Behala, Kolkata","Fast Food, Chinese, Tibetan, Momos, Seafood",300,12noon – 12midnight (Mon-Sun),Behala,Kolkata,Mon-Sun
Huungry,5,2.9,"P 141, Shop B 33, Block B, Kalindi, Kolkata","Fast Food, Chinese, Tibetan, Momos, Seafood",400,11am – 11pm (Mon-Sun),Kalindi,Kolkata,Mon-Sun
Blue Diamond Hotel & Restaurant,Cuisines:,-1.0,"J.C Ghosh Sarani, Bus Stand, Chinsura, Kolkata",North Indian,500,-1,Chinsura,Kolkata,Mon-Sun
Mr & Mrs Taco,22,3.3,"DGK 144, 1st Floor, DLF Galleria, Beside Novotel, New Town, Kolkata",North Indian,300,"11am – 9pm (Mon-Sat),Closed (Sun)",New Town,Kolkata,Mon-Sat
Hey You Looking 4 Me,11,3.3,"313, BK Block, Sector 2, Salt Lake, Kolkata","Biryani, Bengali",300,"9am – 8:30pm (Mon-Fri),Closed (Sat),8:30am –...",Salt Lake,Kolkata,Mon-Fri
SFC,69,3.1,"15/1, Biren Roy Road East, Behala, Kolkata","Biryani, Bengali",250,5pm – 11pm (Mon-Sun),Behala,Kolkata,Mon-Sun
#Bhukkar,113,3.4,"54, R N Tagore Road, Bediapara, South Dum Dum, Dum Dum, Kolkata","North Indian, Chinese",550,12noon – 11pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Vaishnabi Dhaba,Cuisines:,-1.0,"2/3, KC Road, Kaikhali, Kolkata","North Indian, Chinese",200,-1,Kaikhali,Kolkata,Mon-Sun
Coffee & More,23,3.4,"E 10, Baishnabghata Patuli, Garia, Kolkata","Bengali, Chinese, North Indian",450,9am – 10pm (Mon-Sun),Garia,Kolkata,Mon-Sun
Vishnu Store,13,3.2,"47/50, Girish Ghosh Lane, Near Vivekanand Colony, Ghusri, Belur, Howrah","Bengali, Chinese, North Indian",100,9am – 9pm (Mon-Sun),Belur,Howrah,Mon-Sun
Hotcross Cakery,54,3.5,"Bangalaxmi Abasan, Gopalpur Checkpost, Rajarhat, Chinar Park, Kolkata","Chinese, Tibetan",200,9am – 10pm (Mon-Sun),Chinar Park,Kolkata,Mon-Sun
Aladdin's Eatery,5,2.9,"CW 19/1, Rabindra Nagar, Santoshpur, Kolkata","Chinese, Tibetan",200,4pm – 10:30pm (Mon-Sun),Santoshpur,Kolkata,Mon-Sun
Prasou's Cocoa Basket,48,3.5,"Building 10, Ramkrishna Nagar, Golf Green, Kolkata",Bakery,250,8am – 10pm (Mon-Sun),Golf Green,Kolkata,Mon-Sun
Eat Street,13,3.4,"177, Opposite Diamond Plaza Mall, Cal Jessore Road, Dum Dum, Kolkata",Bakery,350,2pm – 10pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Nabahna,136,3.5,"81, N.S Avenue, Near Dhobi Ghat, Serampore, Kolkata",Chinese,350,10am – 11pm (Mon-Sun),Serampore,Kolkata,Mon-Sun
Sitala Tiffin,23,3.6,"3, Old Court Lane, Hooghly, Shrirampur, Serampore, Kolkata",Chinese,200,11am – 10pm (Mon-Sun),Serampore,Kolkata,Mon-Sun
New Haji Sahab Fast Food Center,14,3.0,"1/7, Teghoria, V.I.P. Road, Baguihati, Kolkata","North Indian, Biryani",250,11am – 11pm (Mon-Sun),Baguihati,Kolkata,Mon-Sun
Gouri's Kitchen,4,3.1,"100/1, G 139/B, KMC Primises, Baghajatin, Kolkata","North Indian, Biryani",150,8am – 7pm (Mon-Sun),Baghajatin,Kolkata,Mon-Sun
Hotel Apanjan,69,3.5,"2771, Boral Main Road, Garia, Kolkata","Chinese, Bengali",400,11am – 10:30pm (Mon-Sun),Garia,Kolkata,Mon-Sun
Murugan Biryani,Cuisines:,0.0,"385, Bagjola, Ghosh Para, Dum Dum Road, Jhilbagan, Dum Dum, Kolkata","Chinese, Bengali",300,9am – 4am (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Alochaya Fast Food,15,2.8,"D-1/2, B C Roy Sarani, Ward 16, Jyangra, Baguihati, Kolkata",Bakery,150,11am – 10pm (Mon-Sun),Baguihati,Kolkata,Mon-Sun
Green Chilli Restaurant,78,2.9,"N73, Mondal Ganthi, Rajarhat Gopalpur Municipality, V.I.P. Road, Kaikhali, Kolkata",Bakery,500,12noon – 10pm (Mon-Sun),Kaikhali,Kolkata,Mon-Sun
Addiction,369,3.5,"4th Floor, Axis Mall, Block CS, Major Arterial Road, New Town, Kolkata","Chinese, Thai","1,100",12noon – 10:30pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Diamond Food,22,2.8,"852/2, James Long Sarani, Joka, Kolkata","Chinese, Thai",300,12noon – 10pm (Mon-Sun),Joka,Kolkata,Mon-Sun
Gateway,109,3.6,"Hotel Gateway Continental, Gate 1, Airport, VIP Road & Jessore Road Crossing, Dum Dum, Kolkata","Fast Food, Beverages","1,000",11am – 11pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Corn & Fries,11,3.2,"Shop K24, CC 2, Ground Floor, New Town, Kolkata","Fast Food, Beverages",150,11:30am – 10pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Silver Moon,115,3.3,"9, Pranabananda Road, Near Kavi Nazrul Metro, Garia, Kolkata","Chinese, Lebanese",500,12noon – 10:30pm (Mon-Sun),Garia,Kolkata,Mon-Sun
Laxminarayan Mistanna Bhandar,34,3.2,"47A, Barrackpore Trunk Road, Sinthi, Kolkata","Chinese, Lebanese",100,7am – 10pm (Mon-Sun),Sinthi,Kolkata,Mon-Sun
Tumi Asbey Bole,61,2.0,"401, Ajoy Nagar, Kolkata","Chinese, Burger, Bengali, Beverages",600,12noon – 11:30pm (Mon-Sun),Ajoy Nagar,Kolkata,Mon-Sun
Anapurna,15,3.3,"13/1, Block B, Bangur Avenue, Bangur, Kolkata","Chinese, Burger, Bengali, Beverages",100,7am – 10pm (Mon-Sun),Bangur,Kolkata,Mon-Sun
Bakstage BakeHouse,24,2.8,"EN 1, Sector 5, Salt Lake","North Indian, Chinese, Rolls, Bengali",550,10am – 12midnight (Mon-Sun),Sector 5,Salt Lake,Mon-Sun
New Ashiana,172,3.6,"Near Nazrul Metro Station, Canal Side Road, Garia, Kolkata","North Indian, Chinese, Rolls, Bengali",700,11:30am – 10:30pm (Mon-Sun),Garia,Kolkata,Mon-Sun
New Haji Saheb,107,3.4,"62, Nager Bazar More, Nagerbazar, Kolkata","Pizza, South Indian",300,12:30pm – 10pm (Mon-Sun),Nagerbazar,Kolkata,Mon-Sun
Annapurna Jalojog,16,3.0,"18 South Sinthi Road, Sinthi, Kolkata","Pizza, South Indian",300,12noon – 10:30pm (Mon-Sun),Sinthi,Kolkata,Mon-Sun
Amiya Snacks,Cuisines:,0.0,"P 13, Ganguly Bagan, Baghajatin, Kolkata","Bengali, North Indian, Chinese",300,11am – 10pm (Mon-Sun),Baghajatin,Kolkata,Mon-Sun
Mukherjee's Royal,63,3.6,"208, Vivek Garden Criper Road, Near IDBI Bank, Konnagar, Kolkata","Bengali, North Indian, Chinese",500,12:30pm – 10:30pm (Mon-Sun),Konnagar,Kolkata,Mon-Sun
Tripti Restaurant,Cuisines:,0.0,"Kamrabad, Sonarpur, Narendra Pur, Kolkata","Biryani, North Indian",250,11am – 11pm (Mon-Sun),Narendra Pur,Kolkata,Mon-Sun
Shitala Sweets,Cuisines:,0.0,"2/7/A, Old Calcutta Road, Barrackpore, Kolkata","Biryani, North Indian",250,7am – 12midnight (Mon-Sun),Barrackpore,Kolkata,Mon-Sun
Best Food,Cuisines:,0.0,"Shop 2A, Sulanggari Colony, Near Sulanggari School, New Town, Kolkata",North Indian,150,9am – 11pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Pachphoron Biryani Centre,Cuisines:,0.0,"68, Bansdroni Government Colony, Tollygunge, Kolkata",North Indian,200,12noon – 12midnight (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Krishna Sweets,Cuisines:,0.0,"185/1D, N.S.C. Bose Road, Tollygunge, Kolkata","North Indian, Chinese, Street Food, Fast Food, Rolls, Beverages",150,7am – 10pm (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Biswa & Subho Kitchen,Cuisines:,-1.0,"4/3, South Regent Grove, Bansdroni, Nagendra Narayan Dutta Road, Tollygunge, Kolkata","North Indian, Chinese, Street Food, Fast Food, Rolls, Beverages",150,-1,Tollygunge,Kolkata,Mon-Sun
Bake 'n' Flake,Cuisines:,0.0,"20B, Akankha Bengal Shelter, HIG Tower 1, New Town, Kolkata",Chinese,200,10am – 10pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Ria's Little Bakery,Cuisines:,0.0,"1/24, Surya Nagar, N.S.C Bose Road,Tollygunge, Kolkata",Chinese,400,9:30am – 8pm (Mon-Sun),"N.S.C Bose Road,Tollygunge",Kolkata,Mon-Sun
Preety Kitchen,Cuisines:,0.0,"2, New Shibtala Road, Naktala, Kolkata","North Indian, Chinese, Bengali",300,11am – 7pm (Mon-Sun),Naktala,Kolkata,Mon-Sun
Steaming Bowl,Cuisines:,0.0,"8/1-Z, Near Pallymangal Samiti, Naktala, Kolkata","North Indian, Chinese, Bengali",200,5:30pm – 10pm (Mon-Sun),Naktala,Kolkata,Mon-Sun
Bengal Cuisine,Cuisines:,0.0,"890, Uniworld City, Besides Unitech Gate 1, New Town, Kolkata","Biryani, North Indian",200,10am – 1am (Mon-Sun),New Town,Kolkata,Mon-Sun
Paratha House,9,3.2,"27/41, Bk Paul Temple Road, Liluah, Howrah","Biryani, North Indian",250,"7am – 11am, 4pm – 10pm (Mon-Sun)",Liluah,Howrah,Mon-Sun
Food Corner,Cuisines:,0.0,"5/6, Jatindas Nagar, Belghoria, Kolkata",Biryani,250,11am – 11pm (Mon-Sun),Belghoria,Kolkata,Mon-Sun
Annapurna,Cuisines:,0.0,"4, Mullick Colony, Opposite Pragati Sangha Ground, Jadavpur, Kolkata",Biryani,150,7:30am – 9:30pm (Mon-Sun),Jadavpur,Kolkata,Mon-Sun
Take And Taste,Cuisines:,0.0,"3, Mackenzie Road, Ariadaha, Belghoria, Kolkata","North Indian, Chinese, Fast Food",300,12noon – 10pm (Mon-Sun),Belghoria,Kolkata,Mon-Sun
Ahare Bahare,Cuisines:,0.0,"34 Feeder Road, Aheli Apartment, Kamarhati Municipality, Belghoria, Kolkata","North Indian, Chinese, Fast Food",250,10:30am – 10:30pm (Mon-Sun),Belghoria,Kolkata,Mon-Sun
Papa Chow,Cuisines:,0.0,"DLF-1, DLF Erricsson, Opposite Gate 2, New Town, Kolkata","Rolls, Biryani, Bengali, Chinese",350,11:30am – 9:30pm (Mon-Sun),New Town,Kolkata,Mon-Sun
Kebabi-Ana,Cuisines:,0.0,Delivery Only,"Rolls, Biryani, Bengali, Chinese",400,5pm – 11pm (Mon-Sun),,Delivery Only,Mon-Sun
Jana Enterprise,Cuisines:,0.0,"2/30, Mukundpur Ward, Ajoy Nagar, Kolkata",Street Food,300,8am – 12midnight (Mon-Sun),Ajoy Nagar,Kolkata,Mon-Sun
The Rice Plate,Cuisines:,0.0,"J/266, Bbaishnabghata Patuli, Near Patuli Trafic House, Garia, Kolkata",Street Food,300,8am – 3am (Mon-Sun),Garia,Kolkata,Mon-Sun
Dreamz Cafe,Cuisines:,0.0,"Bakultala, Rahara, Khardah, Kolkata",Ice Cream,300,10am – 10pm (Mon-Sun),Khardah,Kolkata,Mon-Sun
Special Biryani Box,Cuisines:,0.0,"C 9, Unitech Gate 1, Opposite NKDA Market, Rajarhat, New Town, Kolkata",Ice Cream,400,12noon – 1am (Mon-Sun),New Town,Kolkata,Mon-Sun
Monalisa Restaurant,28,3.5,"32/1, Chandi Ghosh Road, Opposite Kudghat Metro, Tollygunge, Kolkata","North Indian, Kebab, Sandwich",250,11am – 11pm (Mon-Sun),Tollygunge,Kolkata,Mon-Sun
Devilicios Cafe,91,4.0,"76, Milan Park, Garia, Kolkata","North Indian, Kebab, Sandwich",500,12noon – 9pm (Mon-Sun),Garia,Kolkata,Mon-Sun
Sree Guru Mistanna Bhandar,5,3.0,"Platform Number 2, Kata Potti, Makalhati Mauza, Tara Tala, Kolkata","Chinese, Fast Food",150,9am – 9pm (Mon-Sun),Tara Tala,Kolkata,Mon-Sun
Adi Taz Restaurant,16,3.5,"Near Trikon Park, School Road, Sodepur, Kolkata","Chinese, Fast Food",400,12noon – 11pm (Mon-Sun),Sodepur,Kolkata,Mon-Sun
Ghorowa Aahar,Cuisines:,0.0,Delivery Only,North Indian,100,"8:30am – 2pm, 5:30pm – 9pm (Mon),8:30am –...",,Delivery Only,Mon
The Kitchen,299,3.8,"1/1, Jessore Road, Airport Gate 2, Dum Dum, Kolkata",North Indian,600,11:30am – 11pm (Mon-Sun),Dum Dum,Kolkata,Mon-Sun
Baba Boom,15,3.5,"Merlin Matrix Building, Sector 5, Salt Lake, Kolkata",Fast Food,100,12noon – 10pm (Mon-Sun),Salt Lake,Kolkata,Mon-Sun
American Express Kitchen,5,3.1,"Shop 7, P 207, Block B, Ward 30, Lake Town, Kolkata",Fast Food,350,"11am – 10pm (Mon-Sat),Closed (Sun)",Lake Town,Kolkata,Mon-Sat
Oxy Jam,6,3.0,"C, A/6, Deshbandu Nagar, Baguihati, Kolkata",Mishti,300,12noon – 11pm (Mon-Sun),Baguihati,Kolkata,Mon-Sun
Nawab Fast Food Corner,18,3.4,"33, Rishi Bankim Sarani, Serampore, Kolkata",Mishti,300,4pm – 10:30pm (Mon-Sun),Serampore,Kolkata,Mon-Sun
Darun,12,3.3,"Fulpukur Road, Hooghly, Chinsura, Kolkata","North Indian, Chinese, Seafood, Bengali, Biryani",300,11am – 11pm (Mon-Sun),Chinsura,Kolkata,Mon-Sun
Ahar,Cuisines:,0.0,"1/A/4, Azad Hind Nagar, Ushumpur, Khardah, Kolkata","North Indian, Chinese, Seafood, Bengali, Biryani",150,9am – 11pm (Mon-Sun),Khardah,Kolkata,Mon-Sun
Global Bengal,31,3.4,"Diamond Plaza Mall, Nagerbazar, Kolkata","North Indian, Rolls",400,11am – 10pm (Mon-Sun),Nagerbazar,Kolkata,Mon-Sun
Momo Box,13,3.3,"1/20, Bangur Avenue, Block C, Bangur, Kolkata","North Indian, Rolls",400,"1pm – 10pm (Mon, Tue, Wed, Fri, Sat, Sun), Closed...",Bangur,Kolkata,"Mon, Tue, Wed, Fri, Sat, Sun"
